STORE NUMBER,Store Name,UPC,SKU,Name,Manufacturer,Segment,Yes/No
476,FOOD MAXX,75452700994,,NEW BELGIUM VOODOO ROTATING IPA SERIES 6/12C,NEW BELGIUM BREWING COMPANY,CRAFT,Yes
476,FOOD MAXX,1820079047,,ODOULS NA 12/12C,ANHEUSER-BUSCH INBEV,NON-ALC,Yes
476,FOOD MAXX,1820000784,,ODOULS NA 6/12B,ANHEUSER-BUSCH INBEV,NON-ALC,Yes
476,FOOD MAXX,5230002545,,OLD MILWAUKEE NA 12/12C,PABST BREWING CO,NON-ALC,Yes
476,FOOD MAXX,85588000805,,ON THE ROCKS EFFEN THE COSMOPOLITAN 1/375ML,BEAM SUNTORY,RTD,Yes
476,FOOD MAXX,85588000811,,ON THE ROCKS HORNITOS THE MARGARITA 1/375ML,BEAM SUNTORY,RTD,Yes
476,FOOD MAXX,85588000802,,ON THE ROCKS KNOB CREEK OLD FASHIONED 1/375ML,BEAM SUNTORY,RTD,*
476,FOOD MAXX,85588000817,,ON THE ROCKS LARIOS THE AVIATION 1/375ML,BEAM SUNTORY,RTD,Yes
476,FOOD MAXX,85588000808,,ON THE ROCKS TRES GENERACIONES TEQUILA THE JALAPENO PINEAPPLE MARGARITA 1/375ML,BEAM SUNTORY,RTD,Yes
476,FOOD MAXX,2210000004,,PABST BLUE RIBBON 1/24C,PABST BREWING CO,ECONOMY,Yes
476,FOOD MAXX,2210000170,,PABST BLUE RIBBON 12/12C,PABST BREWING CO,ECONOMY,Yes
476,FOOD MAXX,2210011219,,PABST BLUE RIBBON 30/12C,PABST BREWING CO,ECONOMY,Yes
476,FOOD MAXX,3354495022,,PACIFICO 1/24C,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,8066095315,,PACIFICO 12/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,3354495031,,PACIFICO 12/12C,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
